composer,url,title,date,from,originator,arranger,text author,duration,difficulty level,voicing,voicing notes,soloists,instruments,language,,,,sample performance,range notes,tessitura notes,vocal line notes,voice type notes,accompaniment,general notes,provided by
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Triumph In My Song,2001,,,,Phyllis Wheatly,"5'00""",,"SATB Divisi, SAATB",,,,English,https://www.ecspublishing.com/triumph-in-my-song.html,https://www.ecspublishing.com/triumph-in-my-song.html,https://www.ecspublishing.com/triumph-in-my-song.html,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,"Wake Up, My Spirit",1998,,,,,"4'00""",3,SATB Divisi,,,pno,English,https://www.jwpepper.com/Wake-up-My-Spirit/3294867.item#.Ykhy4ijMKUk,,https://youtu.be/ghYfE2roBcw,https://youtu.be/AP8K1kBkGuo,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,When Storms Arise (No. 1),2009,3 Dunbar Hymns,,,Laurence Dunbar,"4'00""",3,SATB,,,,English,https://www.jwpepper.com/When-Storms-Arise/10082706.item#/submit,,https://www.jwpepper.com/When-Storms-Arise/10082706.item#/submit,https://youtu.be/VyFxfQhGdYk?t=188,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Within Our Gates,,,,,,"77'00""",6,SATB,,Soprano and Tenor,,,,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Ye Shall Have A Song,2001,,,,Isaiah 30: 29-30 (The Bible),"4'00""",3,SATB Divisi,,,pno,English,http://www.alliancemusic.com/product.cfm?iProductID=503,,,https://youtu.be/YuLfz4WWmKQ,,,,,,,
ADRIANA VERDIÉ,,El Polvoroso,1984,,,,,"1'19""",4,Other (see below),Mixed Choir,,,Spanish,,,,http://www.youtube.com/watch?v=gI7NEvnw93M&ab_channel=Asociaci%C3%B3nCoralLorenzoPerosideItuzaing%C3%B3,,,,,Piano/Keyboard,"Hand Percussion, Stomping",
ADRIENNE ALBERT,http://www.adriennealbert.com,A Choral Quilt Of Hope (Full Version),2012,,,,Susan Suntree,"14'00""",,SATB,,,pno or org,,http://www.adriennealbert.com/works_choral.html#quilt,http://www.adriennealbert.com/scores-choralquilt1.html,http://www.adriennealbert.com/scores-choralquilt1.html,,,,,,,,
ADRIENNE ALBERT,http://www.adriennealbert.com,A Choral Quilt Of Hope (Preamble),2010,,,,Susan Suntree,"4'00""",,SSA,,,pno or org,,http://www.adriennealbert.com/works_choral.html#quilt,http://www.adriennealbert.com/scores-choralquilt1.html,http://www.adriennealbert.com/scores-choralquilt1.html,,,,,,,,
ADRIENNE ALBERT,http://www.adriennealbert.com,A Place Called Home,2007,,,,,,,SATB Divisi (SSAATTBB),,,pno,,http://www.adriennealbert.com/works_choral.html#quilt,,,,,,,,,,
ADRIENNE ALBERT,http://www.adriennealbert.com,"Alaskan Symphony, An",2006,,,,,"18'00""",6,Choir,,,"2fl - 2ob - 3cl - 2bsn / 4hn - 3tpt - 3tbn - 1tba / timp,perc / pno / chor / hp / str",,http://www.adriennealbert.com/works.html,,,,,,,,,,
